"commune","time","nationality","age","value"
"Vienna 3rd district, Landstraße <903> ",2007,"Austria.","17.years.old.","630"
"Vienna 3rd district, Landstraße <903> ",2008,"Austria.","17.years.old.","630"
"Vienna 3rd district, Landstraße <903> ",2009,"Austria.","17.years.old.","570"
"Vienna 3rd district, Landstraße <903> ",2010,"Austria.","17.years.old.","619"
"Vienna 3rd district, Landstraße <903> ",2011,"Austria.","17.years.old.","540"
"Vienna 3rd district, Landstraße <903> ",2012,"Austria.","17.years.old.","552"
"Vienna 3rd district, Landstraße <903> ",2013,"Austria.","17.years.old.","536"
"Vienna 3rd district, Landstraße <903> ",2014,"Austria.","17.years.old.","523"
"Vienna 3rd district, Landstraße <903> ",2015,"Austria.","17.years.old.","550"
"Vienna 4th district, Wieden <904> ",1971,"Austria.","17.years.old.","293"
"Vienna 4th district, Wieden <904> ",1981,"Austria.","17.years.old.","327"
"Vienna 4th district, Wieden <904> ",1991,"Austria.","17.years.old.","227"
"Vienna 4th district, Wieden <904> ",2001,"Austria.","17.years.old.","199"
"Vienna 4th district, Wieden <904> ",2002,"Austria.","17.years.old.","195"
"Vienna 4th district, Wieden <904> ",2003,"Austria.","17.years.old.","218"
"Vienna 4th district, Wieden <904> ",2004,"Austria.","17.years.old.","192"
"Vienna 4th district, Wieden <904> ",2005,"Austria.","17.years.old.","213"
"Vienna 4th district, Wieden <904> ",2006,"Austria.","17.years.old.","216"
"Vienna 4th district, Wieden <904> ",2007,"Austria.","17.years.old.","179"
"Vienna 4th district, Wieden <904> ",2008,"Austria.","17.years.old.","233"
"Vienna 4th district, Wieden <904> ",2009,"Austria.","17.years.old.","193"
"Vienna 4th district, Wieden <904> ",2010,"Austria.","17.years.old.","209"
"Vienna 4th district, Wieden <904> ",2011,"Austria.","17.years.old.","196"
"Vienna 4th district, Wieden <904> ",2012,"Austria.","17.years.old.","188"
"Vienna 4th district, Wieden <904> ",2013,"Austria.","17.years.old.","184"
"Vienna 4th district, Wieden <904> ",2014,"Austria.","17.years.old.","166"
"Vienna 4th district, Wieden <904> ",2015,"Austria.","17.years.old.","153"
"Vienna 5th district, Margareten <905> ",1971,"Austria.","17.years.old.","385"
"Vienna 5th district, Margareten <905> ",1981,"Austria.","17.years.old.","489"
"Vienna 5th district, Margareten <905> ",1991,"Austria.","17.years.old.","286"
"Vienna 5th district, Margareten <905> ",2001,"Austria.","17.years.old.","315"
"Vienna 5th district, Margareten <905> ",2002,"Austria.","17.years.old.","304"
"Vienna 5th district, Margareten <905> ",2003,"Austria.","17.years.old.","339"
"Vienna 5th district, Margareten <905> ",2004,"Austria.","17.years.old.","337"
"Vienna 5th district, Margareten <905> ",2005,"Austria.","17.years.old.","356"
"Vienna 5th district, Margareten <905> ",2006,"Austria.","17.years.old.","331"
"Vienna 5th district, Margareten <905> ",2007,"Austria.","17.years.old.","358"
"Vienna 5th district, Margareten <905> ",2008,"Austria.","17.years.old.","334"
"Vienna 5th district, Margareten <905> ",2009,"Austria.","17.years.old.","329"
"Vienna 5th district, Margareten <905> ",2010,"Austria.","17.years.old.","352"
"Vienna 5th district, Margareten <905> ",2011,"Austria.","17.years.old.","319"
"Vienna 5th district, Margareten <905> ",2012,"Austria.","17.years.old.","311"
"Vienna 5th district, Margareten <905> ",2013,"Austria.","17.years.old.","320"
"Vienna 5th district, Margareten <905> ",2014,"Austria.","17.years.old.","292"
"Vienna 5th district, Margareten <905> ",2015,"Austria.","17.years.old.","256"
"Vienna 6th district, Mariahilf <906> ",1971,"Austria.","17.years.old.","193"
"Vienna 6th district, Mariahilf <906> ",1981,"Austria.","17.years.old.","178"
"Vienna 6th district, Mariahilf <906> ",1991,"Austria.","17.years.old.","212"
"Vienna 6th district, Mariahilf <906> ",2001,"Austria.","17.years.old.","151"
"Vienna 6th district, Mariahilf <906> ",2002,"Austria.","17.years.old.","210"
"Vienna 6th district, Mariahilf <906> ",2003,"Austria.","17.years.old.","210"
"Vienna 6th district, Mariahilf <906> ",2004,"Austria.","17.years.old.","221"
"Vienna 6th district, Mariahilf <906> ",2005,"Austria.","17.years.old.","208"
"Vienna 6th district, Mariahilf <906> ",2006,"Austria.","17.years.old.","192"
"Vienna 6th district, Mariahilf <906> ",2007,"Austria.","17.years.old.","181"
"Vienna 6th district, Mariahilf <906> ",2008,"Austria.","17.years.old.","215"
"Vienna 6th district, Mariahilf <906> ",2009,"Austria.","17.years.old.","187"
"Vienna 6th district, Mariahilf <906> ",2010,"Austria.","17.years.old.","165"
"Vienna 6th district, Mariahilf <906> ",2011,"Austria.","17.years.old.","186"
"Vienna 6th district, Mariahilf <906> ",2012,"Austria.","17.years.old.","154"
"Vienna 6th district, Mariahilf <906> ",2013,"Austria.","17.years.old.","180"
"Vienna 6th district, Mariahilf <906> ",2014,"Austria.","17.years.old.","154"
"Vienna 6th district, Mariahilf <906> ",2015,"Austria.","17.years.old.","142"
"Vienna 7th district, Neubau <907> ",1971,"Austria.","17.years.old.","192"
"Vienna 7th district, Neubau <907> ",1981,"Austria.","17.years.old.","240"
"Vienna 7th district, Neubau <907> ",1991,"Austria.","17.years.old.","197"
"Vienna 7th district, Neubau <907> ",2001,"Austria.","17.years.old.","171"
"Vienna 7th district, Neubau <907> ",2002,"Austria.","17.years.old.","176"
"Vienna 7th district, Neubau <907> ",2003,"Austria.","17.years.old.","161"
"Vienna 7th district, Neubau <907> ",2004,"Austria.","17.years.old.","182"
"Vienna 7th district, Neubau <907> ",2005,"Austria.","17.years.old.","178"
"Vienna 7th district, Neubau <907> ",2006,"Austria.","17.years.old.","177"
"Vienna 7th district, Neubau <907> ",2007,"Austria.","17.years.old.","187"
"Vienna 7th district, Neubau <907> ",2008,"Austria.","17.years.old.","159"
"Vienna 7th district, Neubau <907> ",2009,"Austria.","17.years.old.","180"
"Vienna 7th district, Neubau <907> ",2010,"Austria.","17.years.old.","165"
"Vienna 7th district, Neubau <907> ",2011,"Austria.","17.years.old.","161"
"Vienna 7th district, Neubau <907> ",2012,"Austria.","17.years.old.","156"
"Vienna 7th district, Neubau <907> ",2013,"Austria.","17.years.old.","165"
"Vienna 7th district, Neubau <907> ",2014,"Austria.","17.years.old.","153"
"Vienna 7th district, Neubau <907> ",2015,"Austria.","17.years.old.","138"
"Vienna 8th district, Josefstadt <908> ",1971,"Austria.","17.years.old.","199"
"Vienna 8th district, Josefstadt <908> ",1981,"Austria.","17.years.old.","195"
"Vienna 8th district, Josefstadt <908> ",1991,"Austria.","17.years.old.","174"
"Vienna 8th district, Josefstadt <908> ",2001,"Austria.","17.years.old.","136"
"Vienna 8th district, Josefstadt <908> ",2002,"Austria.","17.years.old.","154"
"Vienna 8th district, Josefstadt <908> ",2003,"Austria.","17.years.old.","163"
"Vienna 8th district, Josefstadt <908> ",2004,"Austria.","17.years.old.","155"
"Vienna 8th district, Josefstadt <908> ",2005,"Austria.","17.years.old.","143"
"Vienna 8th district, Josefstadt <908> ",2006,"Austria.","17.years.old.","161"
"Vienna 8th district, Josefstadt <908> ",2007,"Austria.","17.years.old.","134"
"Vienna 8th district, Josefstadt <908> ",2008,"Austria.","17.years.old.","141"
"Vienna 8th district, Josefstadt <908> ",2009,"Austria.","17.years.old.","126"
"Vienna 8th district, Josefstadt <908> ",2010,"Austria.","17.years.old.","148"
"Vienna 8th district, Josefstadt <908> ",2011,"Austria.","17.years.old.","159"
"Vienna 8th district, Josefstadt <908> ",2012,"Austria.","17.years.old.","138"
"Vienna 8th district, Josefstadt <908> ",2013,"Austria.","17.years.old.","132"
"Vienna 8th district, Josefstadt <908> ",2014,"Austria.","17.years.old.","132"
"Vienna 8th district, Josefstadt <908> ",2015,"Austria.","17.years.old.","132"
"Vienna 9th district, Alsergrund <909> ",1971,"Austria.","17.years.old.","339"
"Vienna 9th district, Alsergrund <909> ",1981,"Austria.","17.years.old.","439"
"Vienna 9th district, Alsergrund <909> ",1991,"Austria.","17.years.old.","254"
"Vienna 9th district, Alsergrund <909> ",2001,"Austria.","17.years.old.","247"
"Vienna 9th district, Alsergrund <909> ",2002,"Austria.","17.years.old.","248"
"Vienna 9th district, Alsergrund <909> ",2003,"Austria.","17.years.old.","254"
"Vienna 9th district, Alsergrund <909> ",2004,"Austria.","17.years.old.","262"
"Vienna 9th district, Alsergrund <909> ",2005,"Austria.","17.years.old.","259"
"Vienna 9th district, Alsergrund <909> ",2006,"Austria.","17.years.old.","234"
"Vienna 9th district, Alsergrund <909> ",2007,"Austria.","17.years.old.","269"
"Vienna 9th district, Alsergrund <909> ",2008,"Austria.","17.years.old.","238"
"Vienna 9th district, Alsergrund <909> ",2009,"Austria.","17.years.old.","240"
"Vienna 9th district, Alsergrund <909> ",2010,"Austria.","17.years.old.","246"
"Vienna 9th district, Alsergrund <909> ",2011,"Austria.","17.years.old.","237"
"Vienna 9th district, Alsergrund <909> ",2012,"Austria.","17.years.old.","218"
"Vienna 9th district, Alsergrund <909> ",2013,"Austria.","17.years.old.","191"
"Vienna 9th district, Alsergrund <909> ",2014,"Austria.","17.years.old.","204"
"Vienna 9th district, Alsergrund <909> ",2015,"Austria.","17.years.old.","198"
"Vienna 10th district, Favoriten <910> ",1971,"Austria.","17.years.old.","1,302"
"Vienna 10th district, Favoriten <910> ",1981,"Austria.","17.years.old.","2,022"
"Vienna 10th district, Favoriten <910> ",1991,"Austria.","17.years.old.","1,195"
"Vienna 10th district, Favoriten <910> ",2001,"Austria.","17.years.old.","1,138"
"Vienna 10th district, Favoriten <910> ",2002,"Austria.","17.years.old.","1,261"
"Vienna 10th district, Favoriten <910> ",2003,"Austria.","17.years.old.","1,238"
"Vienna 10th district, Favoriten <910> ",2004,"Austria.","17.years.old.","1,332"
"Vienna 10th district, Favoriten <910> ",2005,"Austria.","17.years.old.","1,430"
"Vienna 10th district, Favoriten <910> ",2006,"Austria.","17.years.old.","1,447"
"Vienna 10th district, Favoriten <910> ",2007,"Austria.","17.years.old.","1,500"
"Vienna 10th district, Favoriten <910> ",2008,"Austria.","17.years.old.","1,530"
"Vienna 10th district, Favoriten <910> ",2009,"Austria.","17.years.old.","1,444"
"Vienna 10th district, Favoriten <910> ",2010,"Austria.","17.years.old.","1,495"
"Vienna 10th district, Favoriten <910> ",2011,"Austria.","17.years.old.","1,461"
"Vienna 10th district, Favoriten <910> ",2012,"Austria.","17.years.old.","1,483"
"Vienna 10th district, Favoriten <910> ",2013,"Austria.","17.years.old.","1,413"
"Vienna 10th district, Favoriten <910> ",2014,"Austria.","17.years.old.","1,395"
"Vienna 10th district, Favoriten <910> ",2015,"Austria.","17.years.old.","1,343"
"Vienna 11th district, Simmering <911> ",1971,"Austria.","17.years.old.","511"
"Vienna 11th district, Simmering <911> ",1981,"Austria.","17.years.old.","1,005"
"Vienna 11th district, Simmering <911> ",1991,"Austria.","17.years.old.","703"
"Vienna 11th district, Simmering <911> ",2001,"Austria.","17.years.old.","704"
"Vienna 11th district, Simmering <911> ",2002,"Austria.","17.years.old.","686"
"Vienna 11th district, Simmering <911> ",2003,"Austria.","17.years.old.","709"
"Vienna 11th district, Simmering <911> ",2004,"Austria.","17.years.old.","787"
"Vienna 11th district, Simmering <911> ",2005,"Austria.","17.years.old.","732"
"Vienna 11th district, Simmering <911> ",2006,"Austria.","17.years.old.","760"
"Vienna 11th district, Simmering <911> ",2007,"Austria.","17.years.old.","784"
"Vienna 11th district, Simmering <911> ",2008,"Austria.","17.years.old.","786"
"Vienna 11th district, Simmering <911> ",2009,"Austria.","17.years.old.","896"
"Vienna 11th district, Simmering <911> ",2010,"Austria.","17.years.old.","827"
"Vienna 11th district, Simmering <911> ",2011,"Austria.","17.years.old.","884"
"Vienna 11th district, Simmering <911> ",2012,"Austria.","17.years.old.","842"
"Vienna 11th district, Simmering <911> ",2013,"Austria.","17.years.old.","850"
"Vienna 11th district, Simmering <911> ",2014,"Austria.","17.years.old.","790"
"Vienna 11th district, Simmering <911> ",2015,"Austria.","17.years.old.","770"
"Vienna 12th district, Meidling <912> ",1971,"Austria.","17.years.old.","632"
"Vienna 12th district, Meidling <912> ",1981,"Austria.","17.years.old.","824"
"Vienna 12th district, Meidling <912> ",1991,"Austria.","17.years.old.","640"
"Vienna 12th district, Meidling <912> ",2001,"Austria.","17.years.old.","644"
"Vienna 12th district, Meidling <912> ",2002,"Austria.","17.years.old.","623"
"Vienna 12th district, Meidling <912> ",2003,"Austria.","17.years.old.","643"
"Vienna 12th district, Meidling <912> ",2004,"Austria.","17.years.old.","660"
"Vienna 12th district, Meidling <912> ",2005,"Austria.","17.years.old.","683"
"Vienna 12th district, Meidling <912> ",2006,"Austria.","17.years.old.","741"
"Vienna 12th district, Meidling <912> ",2007,"Austria.","17.years.old.","703"
"Vienna 12th district, Meidling <912> ",2008,"Austria.","17.years.old.","778"
"Vienna 12th district, Meidling <912> ",2009,"Austria.","17.years.old.","738"
"Vienna 12th district, Meidling <912> ",2010,"Austria.","17.years.old.","702"
"Vienna 12th district, Meidling <912> ",2011,"Austria.","17.years.old.","719"
"Vienna 12th district, Meidling <912> ",2012,"Austria.","17.years.old.","749"
"Vienna 12th district, Meidling <912> ",2013,"Austria.","17.years.old.","624"
"Vienna 12th district, Meidling <912> ",2014,"Austria.","17.years.old.","700"
"Vienna 12th district, Meidling <912> ",2015,"Austria.","17.years.old.","629"
"Vienna 13th district, Hietzing <913> ",1971,"Austria.","17.years.old.","480"
"Vienna 13th district, Hietzing <913> ",1981,"Austria.","17.years.old.","603"
"Vienna 13th district, Hietzing <913> ",1991,"Austria.","17.years.old.","458"
"Vienna 13th district, Hietzing <913> ",2001,"Austria.","17.years.old.","434"
"Vienna 13th district, Hietzing <913> ",2002,"Austria.","17.years.old.","415"
"Vienna 13th district, Hietzing <913> ",2003,"Austria.","17.years.old.","383"
"Vienna 13th district, Hietzing <913> ",2004,"Austria.","17.years.old.","402"
"Vienna 13th district, Hietzing <913> ",2005,"Austria.","17.years.old.","401"
"Vienna 13th district, Hietzing <913> ",2006,"Austria.","17.years.old.","411"
"Vienna 13th district, Hietzing <913> ",2007,"Austria.","17.years.old.","420"
"Vienna 13th district, Hietzing <913> ",2008,"Austria.","17.years.old.","409"
"Vienna 13th district, Hietzing <913> ",2009,"Austria.","17.years.old.","460"
"Vienna 13th district, Hietzing <913> ",2010,"Austria.","17.years.old.","385"
"Vienna 13th district, Hietzing <913> ",2011,"Austria.","17.years.old.","430"
"Vienna 13th district, Hietzing <913> ",2012,"Austria.","17.years.old.","425"
"Vienna 13th district, Hietzing <913> ",2013,"Austria.","17.years.old.","395"
"Vienna 13th district, Hietzing <913> ",2014,"Austria.","17.years.old.","405"
"Vienna 13th district, Hietzing <913> ",2015,"Austria.","17.years.old.","388"
"Vienna 14th district, Penzing <914> ",1971,"Austria.","17.years.old.","584"
"Vienna 14th district, Penzing <914> ",1981,"Austria.","17.years.old.","922"
"Vienna 14th district, Penzing <914> ",1991,"Austria.","17.years.old.","664"
"Vienna 14th district, Penzing <914> ",2001,"Austria.","17.years.old.","647"
"Vienna 14th district, Penzing <914> ",2002,"Austria.","17.years.old.","679"
"Vienna 14th district, Penzing <914> ",2003,"Austria.","17.years.old.","607"
"Vienna 14th district, Penzing <914> ",2004,"Austria.","17.years.old.","645"
"Vienna 14th district, Penzing <914> ",2005,"Austria.","17.years.old.","683"
"Vienna 14th district, Penzing <914> ",2006,"Austria.","17.years.old.","737"
"Vienna 14th district, Penzing <914> ",2007,"Austria.","17.years.old.","722"
"Vienna 14th district, Penzing <914> ",2008,"Austria.","17.years.old.","723"
"Vienna 14th district, Penzing <914> ",2009,"Austria.","17.years.old.","752"
"Vienna 14th district, Penzing <914> ",2010,"Austria.","17.years.old.","731"
"Vienna 14th district, Penzing <914> ",2011,"Austria.","17.years.old.","641"
"Vienna 14th district, Penzing <914> ",2012,"Austria.","17.years.old.","679"
"Vienna 14th district, Penzing <914> ",2013,"Austria.","17.years.old.","601"
"Vienna 14th district, Penzing <914> ",2014,"Austria.","17.years.old.","621"
"Vienna 14th district, Penzing <914> ",2015,"Austria.","17.years.old.","598"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",1971,"Austria.","17.years.old.","492"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",1981,"Austria.","17.years.old.","654"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",1991,"Austria.","17.years.old.","523"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2001,"Austria.","17.years.old.","419"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2002,"Austria.","17.years.old.","443"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2003,"Austria.","17.years.old.","463"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2004,"Austria.","17.years.old.","469"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2005,"Austria.","17.years.old.","462"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2006,"Austria.","17.years.old.","492"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2007,"Austria.","17.years.old.","497"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2008,"Austria.","17.years.old.","500"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2009,"Austria.","17.years.old.","472"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2010,"Austria.","17.years.old.","434"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2011,"Austria.","17.years.old.","490"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2012,"Austria.","17.years.old.","467"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2013,"Austria.","17.years.old.","443"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2014,"Austria.","17.years.old.","455"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2015,"Austria.","17.years.old.","410"
"Vienna 16th district, Ottakring <916> ",1971,"Austria.","17.years.old.","642"
"Vienna 16th district, Ottakring <916> ",1981,"Austria.","17.years.old.","896"
"Vienna 16th district, Ottakring <916> ",1991,"Austria.","17.years.old.","575"
"Vienna 16th district, Ottakring <916> ",2001,"Austria.","17.years.old.","657"
"Vienna 16th district, Ottakring <916> ",2002,"Austria.","17.years.old.","652"
"Vienna 16th district, Ottakring <916> ",2003,"Austria.","17.years.old.","612"
"Vienna 16th district, Ottakring <916> ",2004,"Austria.","17.years.old.","657"
"Vienna 16th district, Ottakring <916> ",2005,"Austria.","17.years.old.","679"
"Vienna 16th district, Ottakring <916> ",2006,"Austria.","17.years.old.","739"
"Vienna 16th district, Ottakring <916> ",2007,"Austria.","17.years.old.","735"
"Vienna 16th district, Ottakring <916> ",2008,"Austria.","17.years.old.","666"
"Vienna 16th district, Ottakring <916> ",2009,"Austria.","17.years.old.","724"
"Vienna 16th district, Ottakring <916> ",2010,"Austria.","17.years.old.","667"
"Vienna 16th district, Ottakring <916> ",2011,"Austria.","17.years.old.","662"
"Vienna 16th district, Ottakring <916> ",2012,"Austria.","17.years.old.","722"
"Vienna 16th district, Ottakring <916> ",2013,"Austria.","17.years.old.","608"
"Vienna 16th district, Ottakring <916> ",2014,"Austria.","17.years.old.","599"
"Vienna 16th district, Ottakring <916> ",2015,"Austria.","17.years.old.","597"
"Vienna 17th district, Hernals <917> ",1971,"Austria.","17.years.old.","359"
"Vienna 17th district, Hernals <917> ",1981,"Austria.","17.years.old.","472"
"Vienna 17th district, Hernals <917> ",1991,"Austria.","17.years.old.","357"
"Vienna 17th district, Hernals <917> ",2001,"Austria.","17.years.old.","374"
"Vienna 17th district, Hernals <917> ",2002,"Austria.","17.years.old.","364"
"Vienna 17th district, Hernals <917> ",2003,"Austria.","17.years.old.","389"
"Vienna 17th district, Hernals <917> ",2004,"Austria.","17.years.old.","349"
"Vienna 17th district, Hernals <917> ",2005,"Austria.","17.years.old.","419"
"Vienna 17th district, Hernals <917> ",2006,"Austria.","17.years.old.","404"
"Vienna 17th district, Hernals <917> ",2007,"Austria.","17.years.old.","392"
"Vienna 17th district, Hernals <917> ",2008,"Austria.","17.years.old.","405"
"Vienna 17th district, Hernals <917> ",2009,"Austria.","17.years.old.","364"
"Vienna 17th district, Hernals <917> ",2010,"Austria.","17.years.old.","395"
"Vienna 17th district, Hernals <917> ",2011,"Austria.","17.years.old.","360"
"Vienna 17th district, Hernals <917> ",2012,"Austria.","17.years.old.","383"
"Vienna 17th district, Hernals <917> ",2013,"Austria.","17.years.old.","339"
"Vienna 17th district, Hernals <917> ",2014,"Austria.","17.years.old.","341"
"Vienna 17th district, Hernals <917> ",2015,"Austria.","17.years.old.","329"
"Vienna 18th district, Währing <918> ",1971,"Austria.","17.years.old.","378"
"Vienna 18th district, Währing <918> ",1981,"Austria.","17.years.old.","524"
"Vienna 18th district, Währing <918> ",1991,"Austria.","17.years.old.","377"
"Vienna 18th district, Währing <918> ",2001,"Austria.","17.years.old.","330"
"Vienna 18th district, Währing <918> ",2002,"Austria.","17.years.old.","300"
"Vienna 18th district, Währing <918> ",2003,"Austria.","17.years.old.","309"
"Vienna 18th district, Währing <918> ",2004,"Austria.","17.years.old.","332"
"Vienna 18th district, Währing <918> ",2005,"Austria.","17.years.old.","325"
"Vienna 18th district, Währing <918> ",2006,"Austria.","17.years.old.","337"
"Vienna 18th district, Währing <918> ",2007,"Austria.","17.years.old.","355"
"Vienna 18th district, Währing <918> ",2008,"Austria.","17.years.old.","303"
"Vienna 18th district, Währing <918> ",2009,"Austria.","17.years.old.","368"
"Vienna 18th district, Währing <918> ",2010,"Austria.","17.years.old.","319"
"Vienna 18th district, Währing <918> ",2011,"Austria.","17.years.old.","316"
"Vienna 18th district, Währing <918> ",2012,"Austria.","17.years.old.","302"
"Vienna 18th district, Währing <918> ",2013,"Austria.","17.years.old.","315"
"Vienna 18th district, Währing <918> ",2014,"Austria.","17.years.old.","341"
"Vienna 18th district, Währing <918> ",2015,"Austria.","17.years.old.","294"
"Vienna 19th district, Döbling <919> ",1971,"Austria.","17.years.old.","640"
"Vienna 19th district, Döbling <919> ",1981,"Austria.","17.years.old.","809"
"Vienna 19th district, Döbling <919> ",1991,"Austria.","17.years.old.","595"
"Vienna 19th district, Döbling <919> ",2001,"Austria.","17.years.old.","469"
"Vienna 19th district, Döbling <919> ",2002,"Austria.","17.years.old.","500"
"Vienna 19th district, Döbling <919> ",2003,"Austria.","17.years.old.","530"
"Vienna 19th district, Döbling <919> ",2004,"Austria.","17.years.old.","491"
"Vienna 19th district, Döbling <919> ",2005,"Austria.","17.years.old.","504"
"Vienna 19th district, Döbling <919> ",2006,"Austria.","17.years.old.","527"
"Vienna 19th district, Döbling <919> ",2007,"Austria.","17.years.old.","530"
"Vienna 19th district, Döbling <919> ",2008,"Austria.","17.years.old.","533"
"Vienna 19th district, Döbling <919> ",2009,"Austria.","17.years.old.","565"
"Vienna 19th district, Döbling <919> ",2010,"Austria.","17.years.old.","514"
"Vienna 19th district, Döbling <919> ",2011,"Austria.","17.years.old.","482"
"Vienna 19th district, Döbling <919> ",2012,"Austria.","17.years.old.","516"
"Vienna 19th district, Döbling <919> ",2013,"Austria.","17.years.old.","507"
"Vienna 19th district, Döbling <919> ",2014,"Austria.","17.years.old.","506"
"Vienna 19th district, Döbling <919> ",2015,"Austria.","17.years.old.","501"
"Vienna 20th district, Brigittenau <920> ",1971,"Austria.","17.years.old.","629"
"Vienna 20th district, Brigittenau <920> ",1981,"Austria.","17.years.old.","877"
"Vienna 20th district, Brigittenau <920> ",1991,"Austria.","17.years.old.","508"
"Vienna 20th district, Brigittenau <920> ",2001,"Austria.","17.years.old.","485"
"Vienna 20th district, Brigittenau <920> ",2002,"Austria.","17.years.old.","519"
"Vienna 20th district, Brigittenau <920> ",2003,"Austria.","17.years.old.","511"
"Vienna 20th district, Brigittenau <920> ",2004,"Austria.","17.years.old.","539"
"Vienna 20th district, Brigittenau <920> ",2005,"Austria.","17.years.old.","605"
"Vienna 20th district, Brigittenau <920> ",2006,"Austria.","17.years.old.","563"
"Vienna 20th district, Brigittenau <920> ",2007,"Austria.","17.years.old.","605"
"Vienna 20th district, Brigittenau <920> ",2008,"Austria.","17.years.old.","599"
"Vienna 20th district, Brigittenau <920> ",2009,"Austria.","17.years.old.","580"
"Vienna 20th district, Brigittenau <920> ",2010,"Austria.","17.years.old.","559"
"Vienna 20th district, Brigittenau <920> ",2011,"Austria.","17.years.old.","537"
"Vienna 20th district, Brigittenau <920> ",2012,"Austria.","17.years.old.","527"
"Vienna 20th district, Brigittenau <920> ",2013,"Austria.","17.years.old.","520"
"Vienna 20th district, Brigittenau <920> ",2014,"Austria.","17.years.old.","550"
"Vienna 20th district, Brigittenau <920> ",2015,"Austria.","17.years.old.","483"
"Vienna 21st district, Floridsdorf <921> ",1971,"Austria.","17.years.old.","902"
"Vienna 21st district, Floridsdorf <921> ",1981,"Austria.","17.years.old.","2,037"
"Vienna 21st district, Floridsdorf <921> ",1991,"Austria.","17.years.old.","1,203"
"Vienna 21st district, Floridsdorf <921> ",2001,"Austria.","17.years.old.","1,188"
"Vienna 21st district, Floridsdorf <921> ",2002,"Austria.","17.years.old.","1,216"
"Vienna 21st district, Floridsdorf <921> ",2003,"Austria.","17.years.old.","1,241"
"Vienna 21st district, Floridsdorf <921> ",2004,"Austria.","17.years.old.","1,264"
"Vienna 21st district, Floridsdorf <921> ",2005,"Austria.","17.years.old.","1,333"
"Vienna 21st district, Floridsdorf <921> ",2006,"Austria.","17.years.old.","1,442"
"Vienna 21st district, Floridsdorf <921> ",2007,"Austria.","17.years.old.","1,428"
"Vienna 21st district, Floridsdorf <921> ",2008,"Austria.","17.years.old.","1,452"
"Vienna 21st district, Floridsdorf <921> ",2009,"Austria.","17.years.old.","1,515"
"Vienna 21st district, Floridsdorf <921> ",2010,"Austria.","17.years.old.","1,545"
"Vienna 21st district, Floridsdorf <921> ",2011,"Austria.","17.years.old.","1,462"
"Vienna 21st district, Floridsdorf <921> ",2012,"Austria.","17.years.old.","1,478"
"Vienna 21st district, Floridsdorf <921> ",2013,"Austria.","17.years.old.","1,422"
"Vienna 21st district, Floridsdorf <921> ",2014,"Austria.","17.years.old.","1,416"
"Vienna 21st district, Floridsdorf <921> ",2015,"Austria.","17.years.old.","1,337"
"Vienna 22nd district, Donaustadt <922> ",1971,"Austria.","17.years.old.","762"
"Vienna 22nd district, Donaustadt <922> ",1981,"Austria.","17.years.old.","1,830"
"Vienna 22nd district, Donaustadt <922> ",1991,"Austria.","17.years.old.","1,273"
"Vienna 22nd district, Donaustadt <922> ",2001,"Austria.","17.years.old.","1,350"
"Vienna 22nd district, Donaustadt <922> ",2002,"Austria.","17.years.old.","1,397"
"Vienna 22nd district, Donaustadt <922> ",2003,"Austria.","17.years.old.","1,352"
"Vienna 22nd district, Donaustadt <922> ",2004,"Austria.","17.years.old.","1,366"
"Vienna 22nd district, Donaustadt <922> ",2005,"Austria.","17.years.old.","1,426"
"Vienna 22nd district, Donaustadt <922> ",2006,"Austria.","17.years.old.","1,527"
"Vienna 22nd district, Donaustadt <922> ",2007,"Austria.","17.years.old.","1,619"
"Vienna 22nd district, Donaustadt <922> ",2008,"Austria.","17.years.old.","1,670"
"Vienna 22nd district, Donaustadt <922> ",2009,"Austria.","17.years.old.","1,766"
"Vienna 22nd district, Donaustadt <922> ",2010,"Austria.","17.years.old.","1,837"
"Vienna 22nd district, Donaustadt <922> ",2011,"Austria.","17.years.old.","1,827"
"Vienna 22nd district, Donaustadt <922> ",2012,"Austria.","17.years.old.","1,781"
"Vienna 22nd district, Donaustadt <922> ",2013,"Austria.","17.years.old.","1,747"
"Vienna 22nd district, Donaustadt <922> ",2014,"Austria.","17.years.old.","1,844"
